C,Accuracy,Precision,Recall,F1-score
1.0,0.6156138259833135,0.5870712401055409,0.791814946619217,0.6742424242424242
0.1,0.6126340882002383,0.5825491873396065,0.8078291814946619,0.6769383697813122
10.0,0.6129320619785459,0.5843872655909289,0.7947805456702254,0.6735360643377734
0.01,0.6150178784266984,0.5862521891418564,0.7941874258600238,0.6745591939546599
1.0,0.4427,0.4971326164874552,0.41659464131374246,0.43067389620449265,0.4165165165165165,0.5805480277024992,0.33203941475067184,0.45326797385620915,0.4850924644609385,0.3749789242960715
