C,Accuracy,Precision_Refutes,Precision_Supports,Precision_NEI,Recall_Refutes,Recall_Supports,Recall_NEI,F1_Refutes,F1_Supports,F1_NEI
0.1,0.4563,0.5036445678583825,0.43099048944560425,0.4465811965811966,0.43573573573573576,0.5594700391448358,0.37444013138250226,0.4672355498309451,0.4868972746331237,0.40734123761572194
1.0,0.4475,0.5007153075822603,0.42763924493125144,0.4256779951939581,0.42042042042042044,0.5525444143330323,0.370259779038519,0.45706823375775385,0.4821334734629532,0.39603960396039606
0.01,0.4484,0.4890271863740583,0.4314462033807352,0.4295031055900621,0.44834834834834836,0.48419150858175247,0.41295909226634814,0.4678051073163089,0.45629965947786605,0.42106865580758107
10.0,0.4284,0.4784356725146199,0.4119014411901441,0.4061444969615125,0.3930930930930931,0.5335742246311352,0.35921170498656313,0.43158588855918234,0.46490882854519217,0.3812391063222944
0.01,0.4661966196619662,0.5050922978994271,0.4451956832661553,0.4524323426863689,0.47614761476147616,0.5136513651365137,0.4087908790879088,0.4901930501930502,0.4769798704464721,0.42950587122704703
0.1,0.4716971697169717,0.5278380332610267,0.4460767168007462,0.456274409916794,0.43804380438043805,0.5739573957395739,0.4030903090309031,0.47876701098540747,0.5020009184543724,0.42803663878932696
1.0,0.4585958595859586,0.5060304142632407,0.44468602123033635,0.43341591824094144,0.4342934293429343,0.5216021602160216,0.4198919891989199,0.46742552676192783,0.4800828443217121,0.4265467845169156
10.0,0.44084408440844086,0.4687352338951016,0.4402769763416042,0.415066249813905,0.4464446444644464,0.45784578457845787,0.41824182418241823,0.45731847867844794,0.44888954257979113,0.41664798625121424
